mid_lat,mid_lon,bearing_deg
54.804,-5.7475,90.0
54.8045,-5.748,0.0
54.8055,-5.748,0.0
54.807,-5.7485,90.0
54.8075,-5.749,0.0
54.808,-5.7495,90.0
54.808,-5.7505,90.0
54.8085,-5.751,0.0
54.8095,-5.751,0.0
54.81,-5.7515,90.0
54.81,-5.7525,90.0
54.8105,-5.753,0.0
54.811,-5.7535,90.0
54.8115,-5.7555,150.0
54.812,-5.7555,90.0
54.8115,-5.755,0.0
54.8115,-5.754,0.0
54.812,-5.7535,90.0
54.8115,-5.753,0.0
54.811,-5.7525,90.0
54.811,-5.7515,90.0
54.811,-5.7505,90.0
54.8105,-5.75,0.0
54.81,-5.7495,90.0
54.8095,-5.749,0.0
54.809,-5.7485,90.0
54.809,-5.7475,90.0
54.8085,-5.747,0.0
54.808,-5.7465,90.0
54.808,-5.7455,90.0
54.808,-5.7445,90.0
54.808,-5.7435,90.0
54.808,-5.7425,90.0
54.8085,-5.742,0.0
54.809,-5.7415,90.0
54.8095,-5.741,0.0
54.8105,-5.741,0.0
54.811,-5.7415,90.0
54.8115,-5.742,0.0
54.812,-5.7425,90.0
54.812,-5.7435,90.0
54.8125,-5.744,0.0
54.813,-5.7445,90.0
54.813,-5.7455,90.0
54.813,-5.7465,90.0
54.8135,-5.747,0.0
54.814,-5.7475,90.0
54.8145,-5.748,0.0
54.815,-5.7485,90.0
54.8155,-5.749,0.0
54.816,-5.7495,90.0
54.816,-5.7505,90.0
54.816,-5.7515,90.0
54.8165,-5.752,0.0
54.817,-5.7525,90.0
54.817,-5.7535,90.0
54.817,-5.7545,90.0
54.817,-5.7555,90.0
54.817,-5.7565,90.0
54.8175,-5.757,0.0
54.818,-5.7575,90.0
54.818,-5.7585,90.0
54.818,-5.7595,90.0
54.818,-5.7605,90.0
54.818,-5.7615,90.0
54.818,-5.7625,90.0
54.818,-5.7635,90.0
54.818,-5.7645,90.0
54.818,-5.7655,90.0
54.8175,-5.766,0.0
54.817,-5.7665,90.0
54.817,-5.7675,90.0
54.8165,-5.768,0.0
54.816,-5.7685,90.0
54.816,-5.7695,90.0
54.8155,-5.77,0.0
54.815,-5.7705,90.0
54.815,-5.7715,90.0
54.8155,-5.772,0.0
54.816,-5.7725,90.0
54.8165,-5.773,0.0
54.817,-5.7735,90.0
54.8175,-5.774,0.0
54.818,-5.7745,90.0
54.818,-5.7755,90.0
54.8185,-5.776,0.0
54.819,-5.7765,90.0
54.8185,-5.777,0.0
54.8175,-5.777,0.0
54.817,-5.7775,90.0
54.817,-5.7785,90.0
54.817,-5.7795,90.0
54.817,-5.7805,90.0
54.817,-5.7815,90.0
54.8175,-5.782,0.0
54.818,-5.7825,90.0
54.818,-5.7835,90.0
54.8185,-5.784,0.0
54.819,-5.7845,90.0
54.819,-5.7855,90.0
54.819,-5.7865,90.0
54.819,-5.7875,90.0
54.819,-5.7885,90.0
54.8195,-5.789,0.0
54.82,-5.7895,90.0
54.82,-5.7905,90.0
54.82,-5.7915,90.0
54.8205,-5.792,0.0
54.821,-5.7925,90.0
54.821,-5.7935,90.0
54.821,-5.7945,90.0
54.821,-5.7955,90.0
